energy,x,time
18.6067959674, 50.8451727962, 0.00114715591946
8.24922239117, 256.946042649, 0.00466827808646
26.6895063486, 103.393005554, 0.00699474670691
36.687611274, 205.582962936, 0.00812430585793
16.7615131827, 162.524804208, 0.0123850752763
6.5751656094, 123.639267027, 0.012828908076
18.6433021343, 166.257192775, 0.0152653110522
23.0261129866, 290.738898733, 0.0190388493822
28.0587907599, 348.917408162, 0.0209384834924
34.7610841531, 357.297387791, 0.0226046098303
10.7341309193, 281.197565986, 0.0272505888477
33.9014398535, 183.949750122, 0.0293713502696
24.4477443092, 87.5057183367, 0.0315709864511
15.4045984251, 10.3048208209, 0.0342528154975
23.1514029284, 324.360771164, 0.0371615099692
6.56959797851, 68.2240328863, 0.0379671306047
16.2825743619, 70.049118096, 0.0414413245115
12.9554887906, 68.036447258, 0.043923161964
20.7503327392, 94.134083834, 0.0469080633658
18.2254856155, 71.1309528176, 0.0478227751248
26.1339294814, 263.019203957, 0.0511889120599
7.14124103302, 259.12922373, 0.0525257832254
16.2465943689, 105.029756885, 0.0573101391387
16.9611180978, 179.188309981, 0.0594086428679
16.3504969002, 258.148653685, 0.0622204417968
14.5786614031, 321.711346187, 0.0646569754026
11.8593433178, 271.017421904, 0.0670553371654
22.0302887619, 15.3554419142, 0.0676319039194
33.6896877173, 233.357887223, 0.0724827259319
14.1173962273, 134.83345337, 0.0744596527005
11.3399308814, 309.533172701, 0.0769918088149
5.67531915418, 288.021320074, 0.0784423938568
21.4473730691, 78.097253829, 0.0809724921064
37.6058445169, 292.539647551, 0.0835054593143
11.4337841025, 189.463986288, 0.0860743809555
9.4613435689, 94.7791533845, 0.0879257798992
4.74882044364, 207.620099943, 0.0914937376016
10.6955280754, 228.257846246, 0.0930552589439
17.2939532075, 268.777806419, 0.0961806538451
15.2845749925, 339.839419593, 0.098446456223
10.572844127, 309.106853615, 0.100461610908
13.9164337083, 146.442444582, 0.103962508585
27.3116104224, 223.862154862, 0.105880271999
9.22694938919, 183.5259503, 0.109786585239
7.8974207011, 315.52548497, 0.110469311283
12.0920982708, 150.557452228, 0.114617453072
16.7961811991, 27.3217777885, 0.116436574445
20.2012867695, 158.718634134, 0.118343005457
10.7575229355, 203.732020342, 0.120272515596
5.56331617882, 321.514736101, 0.124778910169
15.2969186713, 89.9356868435, 0.126870580972
40.3865599286, 287.166940641, 0.129548904868
23.2773675632, 335.87068459, 0.130600197731
26.3849077697, 233.625535422, 0.133631493929
17.75695609, 30.7253691319, 0.136617277538
35.4026775979, 237.544635864, 0.138834958435
15.3798583039, 286.198135572, 0.14096554728
16.2153432925, 92.3333863842, 0.143789404678
32.0852302199, 227.634312408, 0.145225456016
30.4067324795, 361.107358459, 0.14980045704
20.5927691861, 71.3880631267, 0.15000558745
33.938943279, 204.348490346, 0.154418093959
21.824464, 354.056513263, 0.155874104261
17.8488339285, 152.917855289, 0.158650567891
25.4475041685, 293.117978635, 0.16097612943
10.3181022603, 132.22853895, 0.164948386998
46.6972881945, 105.578523604, 0.166996588803
44.6479327574, 176.304113149, 0.168959105161
14.6704915577, 280.51572087, 0.17042011965
35.0306052218, 265.027534465, 0.17285632442
17.7356195911, 140.397860054, 0.177087457641
14.0624819733, 20.9773300106, 0.178336331054
25.8262426965, 198.538812792, 0.180464687583
25.8469612443, 278.592010819, 0.183928748848
13.5951758597, 270.451312192, 0.185515924265
21.563374457, 333.138418307, 0.187727622924
17.8543931738, 231.738715097, 0.191009453921
9.80045582406, 82.5402335194, 0.192696416093
41.2484080872, 95.4647940805, 0.195312917217
18.8613846915, 172.849797333, 0.199763048061
19.5773707466, 12.5747511415, 0.200172796093
16.9813383898, 102.776642889, 0.203345479921
19.6559880565, 12.0745600583, 0.205106671011
24.1005309195, 151.12360172, 0.20986164023
39.1757527052, 296.032742705, 0.212240874842
22.2894594936, 74.8927681656, 0.213996039171
23.0600765186, 277.055710739, 0.215786562143
8.17495594618, 321.028919008, 0.219835817392
14.314207989, 98.8040661151, 0.220036335592
17.9507725605, 249.877895718, 0.223452682682
17.1177019398, 182.933937505, 0.225133659355
6.5604714648, 196.911740392, 0.229825884082
26.9904666711, 63.9803398566, 0.231426159363
5.97225668284, 128.211382251, 0.234314108455
21.018650736, 251.209780777, 0.237239352966
17.5709416824, 146.712088007, 0.238007090031
39.2568973818, 215.739753938, 0.242085447473
20.131765939, 255.84188361, 0.244275552987
9.11306595634, 271.411025244, 0.245363587039
34.7118325787, 269.395811718, 0.24775629258
21.0353488127, 319.875625529, 0.251748470778
11.8427010409, 174.795583572, 0.253656181786
13.2098366053, 93.5667813921, 0.25548198328
16.1023788499, 221.332431987, 0.258720327309
7.54165958559, 138.287909976, 0.260147647486
19.9821987981, 348.781888746, 0.264572861689
21.5593138543, 173.83159397, 0.26735891206
10.3656745164, 59.1882111663, 0.268683530375
32.7069483381, 42.1061734068, 0.270937702385
16.295155506, 345.931571871, 0.272756431884
37.8525344287, 346.662147795, 0.276866216323
20.4914426162, 91.7321693837, 0.278325271774
29.287688812, 202.510466499, 0.280130518063
9.46545898737, 144.061119106, 0.284249350115
6.77540551984, 137.287068618, 0.28680698058
21.4738087444, 361.023455926, 0.288176375083
19.117099013, 200.10200765, 0.290390102013
22.5406038534, 297.883559469, 0.292818665089
20.3923408049, 98.8185033908, 0.295322151304
41.2159924837, 22.3637669298, 0.298400253951
39.6994877087, 36.1323510001, 0.300050653497
20.1236162863, 258.431045809, 0.30256257463
11.9157387793, 172.765913045, 0.305261392149
12.8117671552, 218.706198506, 0.308004097599
