time_SN_vis, pmt_vis,x_vis,y_vis,z_vis,event_vis
8124.43000987, 53.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.38559172, 55.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.36993971, 55.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.36773405, 57.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.38984549, 57.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.39326329, 59.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.41791576, 61.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.45340646, 68.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.37657959, 68.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.43960568, 71.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.41501693, 72.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.39920193, 72.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.46461329, 73.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.45905481, 74.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.47555085, 74.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.42434169, 74.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.40670071, 77.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.51798192, 84.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.44583095, 87.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.35812059, 88.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.40454919, 91.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.43744219, 105.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.42018567, 108.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.51148169, 117.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.38512701, 118.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
12385.1437114, 6.0, 162.524804208, 614.530622037, 870.722030444, 4.0
12385.1838652, 9.0, 162.524804208, 614.530622037, 870.722030444, 4.0
12385.1731063, 29.0, 162.524804208, 614.530622037, 870.722030444, 4.0
12385.141969, 41.0, 162.524804208, 614.530622037, 870.722030444, 4.0
12385.1348681, 44.0, 162.524804208, 614.530622037, 870.722030444, 4.0
12385.2808669, 51.0, 162.524804208, 614.530622037, 870.722030444, 4.0
12385.1314496, 73.0, 162.524804208, 614.530622037, 870.722030444, 4.0
12829.0594679, 21.0, 123.639267027, -228.177777224, 605.504195813, 5.0
12829.1964137, 25.0, 123.639267027, -228.177777224, 605.504195813, 5.0
12828.991157, 25.0, 123.639267027, -228.177777224, 605.504195813, 5.0
12829.0257341, 31.0, 123.639267027, -228.177777224, 605.504195813, 5.0
12829.1202766, 49.0, 123.639267027, -228.177777224, 605.504195813, 5.0
12828.9815432, 54.0, 123.639267027, -228.177777224, 605.504195813, 5.0
12829.0190582, 63.0, 123.639267027, -228.177777224, 605.504195813, 5.0
12828.9865321, 74.0, 123.639267027, -228.177777224, 605.504195813, 5.0
12828.9983668, 74.0, 123.639267027, -228.177777224, 605.504195813, 5.0
12829.0470258, 113.0, 123.639267027, -228.177777224, 605.504195813, 5.0
15265.4208353, 6.0, 166.257192775, -503.41939948, 1135.69359945, 6.0
15265.4294074, 11.0, 166.257192775, -503.41939948, 1135.69359945, 6.0
15265.3830618, 12.0, 166.257192775, -503.41939948, 1135.69359945, 6.0
