time_SN_vuv, pmt_vuv,x_vuv,y_vuv,z_vuv,event_vuv
8125.30235462, 52.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.4328793, 53.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.48387942, 66.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
12385.7365637, 11.0, 162.524804208, 614.530622037, 870.722030444, 4.0
12385.1599058, 20.0, 162.524804208, 614.530622037, 870.722030444, 4.0
12385.1477952, 22.0, 162.524804208, 614.530622037, 870.722030444, 4.0
12385.1064958, 41.0, 162.524804208, 614.530622037, 870.722030444, 4.0
12385.1487942, 42.0, 162.524804208, 614.530622037, 870.722030444, 4.0
12385.1523527, 61.0, 162.524804208, 614.530622037, 870.722030444, 4.0
12829.0225733, 52.0, 123.639267027, -228.177777224, 605.504195813, 5.0
12828.9947555, 57.0, 123.639267027, -228.177777224, 605.504195813, 5.0
12829.0011896, 69.0, 123.639267027, -228.177777224, 605.504195813, 5.0
12828.9801065, 70.0, 123.639267027, -228.177777224, 605.504195813, 5.0
12828.9726779, 71.0, 123.639267027, -228.177777224, 605.504195813, 5.0
12828.9472296, 73.0, 123.639267027, -228.177777224, 605.504195813, 5.0
12828.9770393, 74.0, 123.639267027, -228.177777224, 605.504195813, 5.0
12828.9361464, 74.0, 123.639267027, -228.177777224, 605.504195813, 5.0
12828.9761896, 76.0, 123.639267027, -228.177777224, 605.504195813, 5.0
12829.1695063, 92.0, 123.639267027, -228.177777224, 605.504195813, 5.0
12829.0862333, 98.0, 123.639267027, -228.177777224, 605.504195813, 5.0
15265.6278508, 11.0, 166.257192775, -503.41939948, 1135.69359945, 6.0
15265.4101318, 13.0, 166.257192775, -503.41939948, 1135.69359945, 6.0
15265.5346267, 15.0, 166.257192775, -503.41939948, 1135.69359945, 6.0
15265.4270254, 18.0, 166.257192775, -503.41939948, 1135.69359945, 6.0
15265.374259, 18.0, 166.257192775, -503.41939948, 1135.69359945, 6.0
15265.3478212, 18.0, 166.257192775, -503.41939948, 1135.69359945, 6.0
15265.5770982, 18.0, 166.257192775, -503.41939948, 1135.69359945, 6.0
15265.3612741, 19.0, 166.257192775, -503.41939948, 1135.69359945, 6.0
15265.397276, 33.0, 166.257192775, -503.41939948, 1135.69359945, 6.0
15265.5435287, 34.0, 166.257192775, -503.41939948, 1135.69359945, 6.0
15265.3746633, 35.0, 166.257192775, -503.41939948, 1135.69359945, 6.0
15265.5334709, 35.0, 166.257192775, -503.41939948, 1135.69359945, 6.0
15265.3457634, 36.0, 166.257192775, -503.41939948, 1135.69359945, 6.0
15265.3547093, 37.0, 166.257192775, -503.41939948, 1135.69359945, 6.0
15265.3669367, 37.0, 166.257192775, -503.41939948, 1135.69359945, 6.0
15265.3772306, 37.0, 166.257192775, -503.41939948, 1135.69359945, 6.0
15265.3830343, 38.0, 166.257192775, -503.41939948, 1135.69359945, 6.0
15265.3880778, 39.0, 166.257192775, -503.41939948, 1135.69359945, 6.0
15265.3497012, 39.0, 166.257192775, -503.41939948, 1135.69359945, 6.0
15265.3792785, 39.0, 166.257192775, -503.41939948, 1135.69359945, 6.0
15265.9793993, 55.0, 166.257192775, -503.41939948, 1135.69359945, 6.0
15265.388994, 56.0, 166.257192775, -503.41939948, 1135.69359945, 6.0
15265.5533934, 57.0, 166.257192775, -503.41939948, 1135.69359945, 6.0
15265.380956, 58.0, 166.257192775, -503.41939948, 1135.69359945, 6.0
15265.4643806, 59.0, 166.257192775, -503.41939948, 1135.69359945, 6.0
19039.0012098, 12.0, 290.738898733, -544.355488182, 808.216084385, 7.0
19040.1319278, 53.0, 290.738898733, -544.355488182, 808.216084385, 7.0
19039.0005356, 54.0, 290.738898733, -544.355488182, 808.216084385, 7.0
19038.8946542, 55.0, 290.738898733, -544.355488182, 808.216084385, 7.0
19038.9381191, 56.0, 290.738898733, -544.355488182, 808.216084385, 7.0
19039.0321879, 57.0, 290.738898733, -544.355488182, 808.216084385, 7.0
19038.9165654, 59.0, 290.738898733, -544.355488182, 808.216084385, 7.0
19039.1105637, 74.0, 290.738898733, -544.355488182, 808.216084385, 7.0
19038.9405155, 76.0, 290.738898733, -544.355488182, 808.216084385, 7.0
19039.05837, 79.0, 290.738898733, -544.355488182, 808.216084385, 7.0
19038.9266629, 97.0, 290.738898733, -544.355488182, 808.216084385, 7.0
20938.7594548, 8.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20939.8248202, 25.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.7261729, 37.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.6040443, 50.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
22604.7542831, 118.0, 357.297387791, -385.769271828, -199.093620383, 9.0
27250.7745101, 31.0, 281.197565986, -93.8589466373, 921.288899282, 10.0
27250.7105106, 32.0, 281.197565986, -93.8589466373, 921.288899282, 10.0
27250.6985814, 51.0, 281.197565986, -93.8589466373, 921.288899282, 10.0
27250.6800997, 55.0, 281.197565986, -93.8589466373, 921.288899282, 10.0
29372.4584985, 77.0, 183.949750122, -565.191800493, 198.511609722, 11.0
29371.4374101, 77.0, 183.949750122, -565.191800493, 198.511609722, 11.0
29372.1733988, 77.0, 183.949750122, -565.191800493, 198.511609722, 11.0
29372.140844, 95.0, 183.949750122, -565.191800493, 198.511609722, 11.0
29371.4767612, 96.0, 183.949750122, -565.191800493, 198.511609722, 11.0
29371.3891971, 97.0, 183.949750122, -565.191800493, 198.511609722, 11.0
29371.4553937, 97.0, 183.949750122, -565.191800493, 198.511609722, 11.0
29371.5813168, 97.0, 183.949750122, -565.191800493, 198.511609722, 11.0
29371.4457076, 98.0, 183.949750122, -565.191800493, 198.511609722, 11.0
29371.4350265, 98.0, 183.949750122, -565.191800493, 198.511609722, 11.0
29371.4142361, 99.0, 183.949750122, -565.191800493, 198.511609722, 11.0
29371.514935, 112.0, 183.949750122, -565.191800493, 198.511609722, 11.0
29371.5099259, 116.0, 183.949750122, -565.191800493, 198.511609722, 11.0
29371.4086295, 117.0, 183.949750122, -565.191800493, 198.511609722, 11.0
29371.4669156, 117.0, 183.949750122, -565.191800493, 198.511609722, 11.0
29371.4653224, 119.0, 183.949750122, -565.191800493, 198.511609722, 11.0
29371.4204929, 119.0, 183.949750122, -565.191800493, 198.511609722, 11.0
29371.454286, 119.0, 183.949750122, -565.191800493, 198.511609722, 11.0
31571.0278469, 0.0, 87.5057183367, 596.58796033, 1300.44297265, 12.0
31571.0337619, 0.0, 87.5057183367, 596.58796033, 1300.44297265, 12.0
31571.0200233, 0.0, 87.5057183367, 596.58796033, 1300.44297265, 12.0
31571.0360096, 0.0, 87.5057183367, 596.58796033, 1300.44297265, 12.0
31571.0745369, 1.0, 87.5057183367, 596.58796033, 1300.44297265, 12.0
31571.0699619, 1.0, 87.5057183367, 596.58796033, 1300.44297265, 12.0
31571.0082131, 1.0, 87.5057183367, 596.58796033, 1300.44297265, 12.0
31571.0326908, 1.0, 87.5057183367, 596.58796033, 1300.44297265, 12.0
31571.0010325, 1.0, 87.5057183367, 596.58796033, 1300.44297265, 12.0
31571.0623641, 2.0, 87.5057183367, 596.58796033, 1300.44297265, 12.0
31571.046521, 2.0, 87.5057183367, 596.58796033, 1300.44297265, 12.0
31571.007555, 2.0, 87.5057183367, 596.58796033, 1300.44297265, 12.0
31571.1205843, 3.0, 87.5057183367, 596.58796033, 1300.44297265, 12.0
31571.1041198, 7.0, 87.5057183367, 596.58796033, 1300.44297265, 12.0
31571.1277729, 21.0, 87.5057183367, 596.58796033, 1300.44297265, 12.0
31571.098982, 25.0, 87.5057183367, 596.58796033, 1300.44297265, 12.0
31571.1385496, 26.0, 87.5057183367, 596.58796033, 1300.44297265, 12.0
34252.8530691, 95.0, 10.3048208209, -481.93520178, 126.083112376, 13.0
34252.917707, 96.0, 10.3048208209, -481.93520178, 126.083112376, 13.0
34253.0767438, 110.0, 10.3048208209, -481.93520178, 126.083112376, 13.0
34252.9787803, 112.0, 10.3048208209, -481.93520178, 126.083112376, 13.0
34252.845372, 114.0, 10.3048208209, -481.93520178, 126.083112376, 13.0
34252.827483, 115.0, 10.3048208209, -481.93520178, 126.083112376, 13.0
34252.8736104, 115.0, 10.3048208209, -481.93520178, 126.083112376, 13.0
34252.8266766, 116.0, 10.3048208209, -481.93520178, 126.083112376, 13.0
34252.8500285, 116.0, 10.3048208209, -481.93520178, 126.083112376, 13.0
34252.8754194, 116.0, 10.3048208209, -481.93520178, 126.083112376, 13.0
34252.9099224, 116.0, 10.3048208209, -481.93520178, 126.083112376, 13.0
34252.8825241, 116.0, 10.3048208209, -481.93520178, 126.083112376, 13.0
34252.82138, 117.0, 10.3048208209, -481.93520178, 126.083112376, 13.0
34252.8456787, 117.0, 10.3048208209, -481.93520178, 126.083112376, 13.0
34252.8223502, 117.0, 10.3048208209, -481.93520178, 126.083112376, 13.0
34252.8267882, 117.0, 10.3048208209, -481.93520178, 126.083112376, 13.0
34252.8413773, 117.0, 10.3048208209, -481.93520178, 126.083112376, 13.0
34252.8398261, 117.0, 10.3048208209, -481.93520178, 126.083112376, 13.0
34252.8384152, 117.0, 10.3048208209, -481.93520178, 126.083112376, 13.0
34252.8309373, 117.0, 10.3048208209, -481.93520178, 126.083112376, 13.0
34252.8322826, 117.0, 10.3048208209, -481.93520178, 126.083112376, 13.0
34252.8353884, 117.0, 10.3048208209, -481.93520178, 126.083112376, 13.0
34252.8429899, 117.0, 10.3048208209, -481.93520178, 126.083112376, 13.0
34252.8487542, 117.0, 10.3048208209, -481.93520178, 126.083112376, 13.0
34252.8513323, 117.0, 10.3048208209, -481.93520178, 126.083112376, 13.0
34252.8504698, 117.0, 10.3048208209, -481.93520178, 126.083112376, 13.0
34252.8194151, 117.0, 10.3048208209, -481.93520178, 126.083112376, 13.0
34252.8432354, 117.0, 10.3048208209, -481.93520178, 126.083112376, 13.0
34252.8464352, 117.0, 10.3048208209, -481.93520178, 126.083112376, 13.0
34252.8524453, 117.0, 10.3048208209, -481.93520178, 126.083112376, 13.0
34252.8197969, 117.0, 10.3048208209, -481.93520178, 126.083112376, 13.0
34252.8373819, 117.0, 10.3048208209, -481.93520178, 126.083112376, 13.0
34252.8401119, 118.0, 10.3048208209, -481.93520178, 126.083112376, 13.0
34252.8372998, 118.0, 10.3048208209, -481.93520178, 126.083112376, 13.0
34252.8230279, 118.0, 10.3048208209, -481.93520178, 126.083112376, 13.0
34252.8216358, 118.0, 10.3048208209, -481.93520178, 126.083112376, 13.0
34252.8338073, 119.0, 10.3048208209, -481.93520178, 126.083112376, 13.0
34252.8980394, 119.0, 10.3048208209, -481.93520178, 126.083112376, 13.0
34252.898707, 119.0, 10.3048208209, -481.93520178, 126.083112376, 13.0
34252.8887246, 119.0, 10.3048208209, -481.93520178, 126.083112376, 13.0
34252.853803, 119.0, 10.3048208209, -481.93520178, 126.083112376, 13.0
34252.8709378, 119.0, 10.3048208209, -481.93520178, 126.083112376, 13.0
37161.7296575, 8.0, 324.360771164, 48.4876635596, 760.810127837, 14.0
37161.6650655, 27.0, 324.360771164, 48.4876635596, 760.810127837, 14.0
37161.9271237, 43.0, 324.360771164, 48.4876635596, 760.810127837, 14.0
37161.6116729, 44.0, 324.360771164, 48.4876635596, 760.810127837, 14.0
37161.5534382, 46.0, 324.360771164, 48.4876635596, 760.810127837, 14.0
37161.5952501, 49.0, 324.360771164, 48.4876635596, 760.810127837, 14.0
37161.8659678, 66.0, 324.360771164, 48.4876635596, 760.810127837, 14.0
37161.5774406, 68.0, 324.360771164, 48.4876635596, 760.810127837, 14.0
37161.7128516, 77.0, 324.360771164, 48.4876635596, 760.810127837, 14.0
37967.1758685, 22.0, 68.2240328863, 168.930098893, 877.48006252, 15.0
37967.2094164, 25.0, 68.2240328863, 168.930098893, 877.48006252, 15.0
37967.2348068, 26.0, 68.2240328863, 168.930098893, 877.48006252, 15.0
37967.2169768, 26.0, 68.2240328863, 168.930098893, 877.48006252, 15.0
37967.1992961, 29.0, 68.2240328863, 168.930098893, 877.48006252, 15.0
37967.1618856, 29.0, 68.2240328863, 168.930098893, 877.48006252, 15.0
37967.4349859, 30.0, 68.2240328863, 168.930098893, 877.48006252, 15.0
37967.225286, 32.0, 68.2240328863, 168.930098893, 877.48006252, 15.0
37967.1876719, 41.0, 68.2240328863, 168.930098893, 877.48006252, 15.0
37967.1699619, 44.0, 68.2240328863, 168.930098893, 877.48006252, 15.0
37967.2102888, 46.0, 68.2240328863, 168.930098893, 877.48006252, 15.0
37967.1689597, 46.0, 68.2240328863, 168.930098893, 877.48006252, 15.0
37967.1616349, 46.0, 68.2240328863, 168.930098893, 877.48006252, 15.0
37967.1848278, 48.0, 68.2240328863, 168.930098893, 877.48006252, 15.0
37967.1786683, 48.0, 68.2240328863, 168.930098893, 877.48006252, 15.0
37967.2187188, 49.0, 68.2240328863, 168.930098893, 877.48006252, 15.0
41441.3873807, 23.0, 70.049118096, 249.851208575, 868.394157399, 16.0
41441.5296923, 25.0, 70.049118096, 249.851208575, 868.394157399, 16.0
41441.4105012, 26.0, 70.049118096, 249.851208575, 868.394157399, 16.0
41441.3668166, 26.0, 70.049118096, 249.851208575, 868.394157399, 16.0
41441.447424, 40.0, 70.049118096, 249.851208575, 868.394157399, 16.0
41441.3625764, 43.0, 70.049118096, 249.851208575, 868.394157399, 16.0
41441.3998823, 43.0, 70.049118096, 249.851208575, 868.394157399, 16.0
41441.4252635, 44.0, 70.049118096, 249.851208575, 868.394157399, 16.0
41441.364875, 45.0, 70.049118096, 249.851208575, 868.394157399, 16.0
41441.3745745, 45.0, 70.049118096, 249.851208575, 868.394157399, 16.0
41441.3598393, 45.0, 70.049118096, 249.851208575, 868.394157399, 16.0
41441.375115, 45.0, 70.049118096, 249.851208575, 868.394157399, 16.0
41441.3884592, 45.0, 70.049118096, 249.851208575, 868.394157399, 16.0
41441.344213, 45.0, 70.049118096, 249.851208575, 868.394157399, 16.0
41441.3473632, 45.0, 70.049118096, 249.851208575, 868.394157399, 16.0
41441.3334202, 45.0, 70.049118096, 249.851208575, 868.394157399, 16.0
41441.3665552, 45.0, 70.049118096, 249.851208575, 868.394157399, 16.0
41441.3566915, 45.0, 70.049118096, 249.851208575, 868.394157399, 16.0
41441.3534068, 46.0, 70.049118096, 249.851208575, 868.394157399, 16.0
41441.3804388, 46.0, 70.049118096, 249.851208575, 868.394157399, 16.0
41441.3729294, 46.0, 70.049118096, 249.851208575, 868.394157399, 16.0
41441.349327, 46.0, 70.049118096, 249.851208575, 868.394157399, 16.0
41441.3726774, 46.0, 70.049118096, 249.851208575, 868.394157399, 16.0
41441.3763832, 46.0, 70.049118096, 249.851208575, 868.394157399, 16.0
41441.3641748, 46.0, 70.049118096, 249.851208575, 868.394157399, 16.0
41441.3743935, 46.0, 70.049118096, 249.851208575, 868.394157399, 16.0
41441.3716836, 47.0, 70.049118096, 249.851208575, 868.394157399, 16.0
41441.3709723, 47.0, 70.049118096, 249.851208575, 868.394157399, 16.0
41441.3797653, 47.0, 70.049118096, 249.851208575, 868.394157399, 16.0
41441.3383863, 47.0, 70.049118096, 249.851208575, 868.394157399, 16.0
41441.3632377, 49.0, 70.049118096, 249.851208575, 868.394157399, 16.0
41441.3678448, 49.0, 70.049118096, 249.851208575, 868.394157399, 16.0
41441.393104, 49.0, 70.049118096, 249.851208575, 868.394157399, 16.0
41441.4357258, 63.0, 70.049118096, 249.851208575, 868.394157399, 16.0
