3.0,3.4444444444444446,3.888888888888889,4.333333333333333,4.777777777777778,5.222222222222222,5.666666666666666,6.111111111111111,6.555555555555555,7.0
5,85.9,87.7,88.3,89.1,89.5,88.8,89.5,90.1,89.1,89.3
7,88.8,89.0,88.0,88.3,87.9,86.2,86.3,85.7,85.8,85.0
10,87.7,87.0,85.7,84.6,83.7,82.1,82.2,81.2,80.1,79.0
13,85.3,84.5,83.4,81.7,80.7,78.6,77.2,75.5,74.6,73.1
15,84.1,83.0,80.3,79.2,78.6,75.3,74.4,72.9,71.0,70.2
