time,pmt,x,y,z,event
6250.10392641, 7.0, 186.5, -29.0, 700.0, 2.0
6250.10368894, 9.0, 186.5, -29.0, 700.0, 2.0
6250.33269623, 12.0, 186.5, -29.0, 700.0, 2.0
6250.31597794, 13.0, 186.5, -29.0, 700.0, 2.0
6250.35947109, 14.0, 186.5, -29.0, 700.0, 2.0
6250.065394, 17.0, 186.5, -29.0, 700.0, 2.0
6250.10561849, 18.0, 186.5, -29.0, 700.0, 2.0
6250.27770516, 19.0, 186.5, -29.0, 700.0, 2.0
6250.22872423, 21.0, 186.5, -29.0, 700.0, 2.0
6250.42545656, 23.0, 186.5, -29.0, 700.0, 2.0
6250.31734743, 24.0, 186.5, -29.0, 700.0, 2.0
6250.16764992, 24.0, 186.5, -29.0, 700.0, 2.0
6250.07819354, 24.0, 186.5, -29.0, 700.0, 2.0
6250.04961906, 26.0, 186.5, -29.0, 700.0, 2.0
6250.21640686, 28.0, 186.5, -29.0, 700.0, 2.0
6250.10102572, 29.0, 186.5, -29.0, 700.0, 2.0
6250.36913468, 30.0, 186.5, -29.0, 700.0, 2.0
6250.19759926, 32.0, 186.5, -29.0, 700.0, 2.0
6250.30447265, 36.0, 186.5, -29.0, 700.0, 2.0
6250.06432999, 36.0, 186.5, -29.0, 700.0, 2.0
6250.2601824, 36.0, 186.5, -29.0, 700.0, 2.0
6250.14235644, 37.0, 186.5, -29.0, 700.0, 2.0
6250.36102837, 42.0, 186.5, -29.0, 700.0, 2.0
6250.06089096, 43.0, 186.5, -29.0, 700.0, 2.0
6250.29000373, 43.0, 186.5, -29.0, 700.0, 2.0
6250.08759643, 44.0, 186.5, -29.0, 700.0, 2.0
6250.04622577, 44.0, 186.5, -29.0, 700.0, 2.0
6250.16596971, 46.0, 186.5, -29.0, 700.0, 2.0
6250.22883686, 46.0, 186.5, -29.0, 700.0, 2.0
6250.09102958, 48.0, 186.5, -29.0, 700.0, 2.0
6250.09581017, 49.0, 186.5, -29.0, 700.0, 2.0
6250.04482082, 50.0, 186.5, -29.0, 700.0, 2.0
6250.38608798, 50.0, 186.5, -29.0, 700.0, 2.0
6250.07528237, 51.0, 186.5, -29.0, 700.0, 2.0
6250.1206507, 51.0, 186.5, -29.0, 700.0, 2.0
6250.08050229, 51.0, 186.5, -29.0, 700.0, 2.0
6250.06406092, 52.0, 186.5, -29.0, 700.0, 2.0
6250.07608128, 52.0, 186.5, -29.0, 700.0, 2.0
6250.04683791, 53.0, 186.5, -29.0, 700.0, 2.0
6250.09330409, 53.0, 186.5, -29.0, 700.0, 2.0
6250.21174431, 53.0, 186.5, -29.0, 700.0, 2.0
6250.08261876, 54.0, 186.5, -29.0, 700.0, 2.0
6250.05811622, 54.0, 186.5, -29.0, 700.0, 2.0
6250.13869322, 55.0, 186.5, -29.0, 700.0, 2.0
6250.23625453, 55.0, 186.5, -29.0, 700.0, 2.0
6250.38248656, 57.0, 186.5, -29.0, 700.0, 2.0
6250.42506754, 57.0, 186.5, -29.0, 700.0, 2.0
6250.12018342, 57.0, 186.5, -29.0, 700.0, 2.0
6250.335833, 59.0, 186.5, -29.0, 700.0, 2.0
6250.31697282, 59.0, 186.5, -29.0, 700.0, 2.0
6250.11084583, 64.0, 186.5, -29.0, 700.0, 2.0
6250.20030037, 66.0, 186.5, -29.0, 700.0, 2.0
6250.08984893, 67.0, 186.5, -29.0, 700.0, 2.0
6250.11862808, 68.0, 186.5, -29.0, 700.0, 2.0
6250.2822024, 68.0, 186.5, -29.0, 700.0, 2.0
6250.11290335, 68.0, 186.5, -29.0, 700.0, 2.0
6250.12783515, 68.0, 186.5, -29.0, 700.0, 2.0
6250.05377883, 68.0, 186.5, -29.0, 700.0, 2.0
6250.10060783, 69.0, 186.5, -29.0, 700.0, 2.0
6250.05388525, 70.0, 186.5, -29.0, 700.0, 2.0
6250.11047318, 70.0, 186.5, -29.0, 700.0, 2.0
6250.10563612, 71.0, 186.5, -29.0, 700.0, 2.0
6250.07936913, 71.0, 186.5, -29.0, 700.0, 2.0
6250.3995578, 72.0, 186.5, -29.0, 700.0, 2.0
6250.22699816, 72.0, 186.5, -29.0, 700.0, 2.0
6250.11808245, 72.0, 186.5, -29.0, 700.0, 2.0
6250.41139372, 73.0, 186.5, -29.0, 700.0, 2.0
6250.077178, 74.0, 186.5, -29.0, 700.0, 2.0
6250.39874066, 74.0, 186.5, -29.0, 700.0, 2.0
6250.18730389, 75.0, 186.5, -29.0, 700.0, 2.0
6250.07825055, 78.0, 186.5, -29.0, 700.0, 2.0
6250.36274353, 78.0, 186.5, -29.0, 700.0, 2.0
6250.28340934, 79.0, 186.5, -29.0, 700.0, 2.0
6250.07395756, 83.0, 186.5, -29.0, 700.0, 2.0
6250.15993827, 85.0, 186.5, -29.0, 700.0, 2.0
6250.25139761, 88.0, 186.5, -29.0, 700.0, 2.0
6250.22168833, 89.0, 186.5, -29.0, 700.0, 2.0
6250.1175223, 89.0, 186.5, -29.0, 700.0, 2.0
6250.21221524, 91.0, 186.5, -29.0, 700.0, 2.0
6250.1074516, 91.0, 186.5, -29.0, 700.0, 2.0
6250.38026076, 92.0, 186.5, -29.0, 700.0, 2.0
6250.26289776, 94.0, 186.5, -29.0, 700.0, 2.0
6250.06178587, 94.0, 186.5, -29.0, 700.0, 2.0
6250.09656313, 96.0, 186.5, -29.0, 700.0, 2.0
6250.29089776, 97.0, 186.5, -29.0, 700.0, 2.0
6250.21061862, 97.0, 186.5, -29.0, 700.0, 2.0
6250.19297069, 105.0, 186.5, -29.0, 700.0, 2.0
6250.32564133, 106.0, 186.5, -29.0, 700.0, 2.0
6250.45469958, 108.0, 186.5, -29.0, 700.0, 2.0
6250.37026491, 111.0, 186.5, -29.0, 700.0, 2.0
6250.09868968, 111.0, 186.5, -29.0, 700.0, 2.0
6250.31954954, 111.0, 186.5, -29.0, 700.0, 2.0
6250.19032448, 116.0, 186.5, -29.0, 700.0, 2.0
6250.12263325, 119.0, 186.5, -29.0, 700.0, 2.0
8750.30631471, 4.0, 186.5, -29.0, 700.0, 3.0
8750.26994787, 7.0, 186.5, -29.0, 700.0, 3.0
8750.22906707, 9.0, 186.5, -29.0, 700.0, 3.0
8750.35696809, 16.0, 186.5, -29.0, 700.0, 3.0
8750.08629692, 23.0, 186.5, -29.0, 700.0, 3.0
8750.16468027, 23.0, 186.5, -29.0, 700.0, 3.0
8750.16447785, 23.0, 186.5, -29.0, 700.0, 3.0
8750.25294512, 25.0, 186.5, -29.0, 700.0, 3.0
8750.25804575, 25.0, 186.5, -29.0, 700.0, 3.0
8750.08018979, 29.0, 186.5, -29.0, 700.0, 3.0
8750.11501411, 30.0, 186.5, -29.0, 700.0, 3.0
8750.38412387, 31.0, 186.5, -29.0, 700.0, 3.0
8750.25970917, 34.0, 186.5, -29.0, 700.0, 3.0
8750.30599106, 36.0, 186.5, -29.0, 700.0, 3.0
8750.17016162, 37.0, 186.5, -29.0, 700.0, 3.0
8750.33333296, 38.0, 186.5, -29.0, 700.0, 3.0
8750.11742059, 39.0, 186.5, -29.0, 700.0, 3.0
8750.06007626, 39.0, 186.5, -29.0, 700.0, 3.0
8750.16546281, 42.0, 186.5, -29.0, 700.0, 3.0
8750.11314684, 43.0, 186.5, -29.0, 700.0, 3.0
8750.14444749, 44.0, 186.5, -29.0, 700.0, 3.0
8750.25994909, 45.0, 186.5, -29.0, 700.0, 3.0
8750.03982845, 48.0, 186.5, -29.0, 700.0, 3.0
8750.13869446, 48.0, 186.5, -29.0, 700.0, 3.0
8750.14904889, 51.0, 186.5, -29.0, 700.0, 3.0
8750.21219679, 54.0, 186.5, -29.0, 700.0, 3.0
8750.26398313, 55.0, 186.5, -29.0, 700.0, 3.0
8750.16924956, 55.0, 186.5, -29.0, 700.0, 3.0
8750.13961807, 57.0, 186.5, -29.0, 700.0, 3.0
8750.15764608, 62.0, 186.5, -29.0, 700.0, 3.0
8750.05225031, 64.0, 186.5, -29.0, 700.0, 3.0
8750.17238105, 65.0, 186.5, -29.0, 700.0, 3.0
8750.24798492, 67.0, 186.5, -29.0, 700.0, 3.0
8750.14174131, 68.0, 186.5, -29.0, 700.0, 3.0
8750.10522969, 69.0, 186.5, -29.0, 700.0, 3.0
