time,pmt,x,y,z,event
6250.10216879, 48.0, 186.5, -29.0, 700.0, 2.0
6250.03637145, 48.0, 186.5, -29.0, 700.0, 2.0
6250.03851888, 49.0, 186.5, -29.0, 700.0, 2.0
6250.28774736, 49.0, 186.5, -29.0, 700.0, 2.0
6250.13100379, 50.0, 186.5, -29.0, 700.0, 2.0
6250.09025743, 50.0, 186.5, -29.0, 700.0, 2.0
6250.0922171, 50.0, 186.5, -29.0, 700.0, 2.0
6250.03884197, 50.0, 186.5, -29.0, 700.0, 2.0
6250.21143118, 50.0, 186.5, -29.0, 700.0, 2.0
6250.05424358, 50.0, 186.5, -29.0, 700.0, 2.0
6250.07066376, 50.0, 186.5, -29.0, 700.0, 2.0
6250.14945528, 50.0, 186.5, -29.0, 700.0, 2.0
6250.06732296, 50.0, 186.5, -29.0, 700.0, 2.0
6250.03253049, 50.0, 186.5, -29.0, 700.0, 2.0
6250.18484555, 51.0, 186.5, -29.0, 700.0, 2.0
6250.10972679, 51.0, 186.5, -29.0, 700.0, 2.0
6250.07025214, 51.0, 186.5, -29.0, 700.0, 2.0
6250.12852186, 51.0, 186.5, -29.0, 700.0, 2.0
6250.11851472, 51.0, 186.5, -29.0, 700.0, 2.0
6250.06628805, 51.0, 186.5, -29.0, 700.0, 2.0
6250.13926288, 51.0, 186.5, -29.0, 700.0, 2.0
6250.17101822, 51.0, 186.5, -29.0, 700.0, 2.0
6250.04412668, 51.0, 186.5, -29.0, 700.0, 2.0
6250.06313936, 52.0, 186.5, -29.0, 700.0, 2.0
6250.07674686, 52.0, 186.5, -29.0, 700.0, 2.0
6250.10066851, 52.0, 186.5, -29.0, 700.0, 2.0
6250.04483317, 52.0, 186.5, -29.0, 700.0, 2.0
6250.02829128, 52.0, 186.5, -29.0, 700.0, 2.0
6250.13935907, 52.0, 186.5, -29.0, 700.0, 2.0
6250.06455666, 53.0, 186.5, -29.0, 700.0, 2.0
6250.17687578, 53.0, 186.5, -29.0, 700.0, 2.0
6250.11843023, 54.0, 186.5, -29.0, 700.0, 2.0
6250.14806739, 54.0, 186.5, -29.0, 700.0, 2.0
6250.08576267, 54.0, 186.5, -29.0, 700.0, 2.0
6250.08035233, 55.0, 186.5, -29.0, 700.0, 2.0
6250.04416664, 55.0, 186.5, -29.0, 700.0, 2.0
6250.14058765, 56.0, 186.5, -29.0, 700.0, 2.0
6250.12682893, 67.0, 186.5, -29.0, 700.0, 2.0
6250.07865242, 67.0, 186.5, -29.0, 700.0, 2.0
6250.07308096, 67.0, 186.5, -29.0, 700.0, 2.0
6250.19122395, 68.0, 186.5, -29.0, 700.0, 2.0
6250.03408096, 68.0, 186.5, -29.0, 700.0, 2.0
6250.05369032, 68.0, 186.5, -29.0, 700.0, 2.0
6250.10332365, 68.0, 186.5, -29.0, 700.0, 2.0
6250.25266665, 69.0, 186.5, -29.0, 700.0, 2.0
6250.06707119, 69.0, 186.5, -29.0, 700.0, 2.0
6250.04276545, 69.0, 186.5, -29.0, 700.0, 2.0
6250.06986737, 69.0, 186.5, -29.0, 700.0, 2.0
6250.13354216, 70.0, 186.5, -29.0, 700.0, 2.0
6250.13799074, 71.0, 186.5, -29.0, 700.0, 2.0
6250.05577749, 71.0, 186.5, -29.0, 700.0, 2.0
6250.17350651, 71.0, 186.5, -29.0, 700.0, 2.0
6250.23730738, 71.0, 186.5, -29.0, 700.0, 2.0
6250.05121853, 71.0, 186.5, -29.0, 700.0, 2.0
6250.20300458, 71.0, 186.5, -29.0, 700.0, 2.0
6250.0491835, 72.0, 186.5, -29.0, 700.0, 2.0
6250.05870605, 73.0, 186.5, -29.0, 700.0, 2.0
6250.12509829, 73.0, 186.5, -29.0, 700.0, 2.0
6250.04269723, 74.0, 186.5, -29.0, 700.0, 2.0
6250.11931288, 74.0, 186.5, -29.0, 700.0, 2.0
6250.06222481, 76.0, 186.5, -29.0, 700.0, 2.0
6250.09387367, 76.0, 186.5, -29.0, 700.0, 2.0
6250.16898919, 76.0, 186.5, -29.0, 700.0, 2.0
6250.27835402, 76.0, 186.5, -29.0, 700.0, 2.0
6250.14927001, 77.0, 186.5, -29.0, 700.0, 2.0
6250.29318284, 84.0, 186.5, -29.0, 700.0, 2.0
6250.21142542, 87.0, 186.5, -29.0, 700.0, 2.0
6250.13684796, 88.0, 186.5, -29.0, 700.0, 2.0
6250.15799068, 93.0, 186.5, -29.0, 700.0, 2.0
6250.11844044, 93.0, 186.5, -29.0, 700.0, 2.0
6250.27730191, 97.0, 186.5, -29.0, 700.0, 2.0
6250.1409775, 108.0, 186.5, -29.0, 700.0, 2.0
6251.08265201, 112.0, 186.5, -29.0, 700.0, 2.0
8750.13913129, 9.0, 186.5, -29.0, 700.0, 3.0
8750.14606588, 27.0, 186.5, -29.0, 700.0, 3.0
8750.08097108, 28.0, 186.5, -29.0, 700.0, 3.0
8750.20304469, 30.0, 186.5, -29.0, 700.0, 3.0
8750.15062141, 30.0, 186.5, -29.0, 700.0, 3.0
8750.17326999, 43.0, 186.5, -29.0, 700.0, 3.0
8750.13861148, 46.0, 186.5, -29.0, 700.0, 3.0
8750.07916156, 48.0, 186.5, -29.0, 700.0, 3.0
8750.1034546, 48.0, 186.5, -29.0, 700.0, 3.0
8750.18670211, 48.0, 186.5, -29.0, 700.0, 3.0
8750.17751357, 48.0, 186.5, -29.0, 700.0, 3.0
8750.16084646, 49.0, 186.5, -29.0, 700.0, 3.0
8750.07429995, 49.0, 186.5, -29.0, 700.0, 3.0
8750.04597912, 49.0, 186.5, -29.0, 700.0, 3.0
8750.0728121, 50.0, 186.5, -29.0, 700.0, 3.0
8750.04938751, 50.0, 186.5, -29.0, 700.0, 3.0
8750.06973815, 50.0, 186.5, -29.0, 700.0, 3.0
